Wavelength,Type,Excitation,Emission
300,9,52.20362,0
301,9,44.4513,0
302,9,37.6193,0
303,9,31.7401,0
304,9,27.328,0
305,9,23.66297,0
306,9,20.60373,0
307,9,18.79558,0
308,9,17.60999,0
309,9,16.50561,0
310,9,15.84569,0
311,9,15.57447,0
312,9,15.3092,0
313,9,14.93079,0
314,9,14.62167,0
315,9,14.35153,0
316,9,13.96175,0
317,9,13.88,0
318,9,13.79934,0
319,9,13.9834,0
320,9,13.81558,0
321,9,13.81558,0
322,9,14.18371,0
323,9,14.44897,0
324,9,14.31363,0
325,9,14.25354,0
326,9,14.69746,0
327,9,14.28602,0
328,9,14.65469,0
329,9,14.84363,0
330,9,14.97355,0
331,9,15.17927,0
332,9,15.38012,0
333,9,15.51005,0
334,9,15.4938,0
335,9,15.84569,0
336,9,16.09418,0
337,9,16.34374,0
338,9,16.75518,0
339,9,17.23699,0
340,9,17.83736,0
341,9,18.29211,0
342,9,18.70354,0
343,9,19.40732,0
344,9,19.78681,0
345,9,20.31139,0
346,9,20.77155,0
347,9,21.21601,0
348,9,21.78931,0
349,9,22.39022,0
350,9,22.82873,0
351,9,23.46754,0
352,9,23.85786,0
353,9,24.27471,0
354,9,24.75598,0
355,9,25.48195,0
356,9,25.99624,0
357,9,26.60203,0
358,9,27.27332,0
359,9,27.79898,0
360,9,28.39448,0
361,9,28.98998,0
362,9,29.50373,0
363,9,29.95361,0
364,9,30.43488,0
365,9,30.76565,0
366,9,31.22527,0
367,9,31.5176,0
368,9,31.70167,0
369,9,31.994,0
370,9,32.24844,0
371,9,32.28093,0
372,9,32.27605,0
373,9,32.5895,0
374,9,32.50343,0
375,9,32.74108,0
376,9,32.97441,0
377,9,33.46164,0
378,9,33.79133,0
379,9,34.39765,0
380,9,34.95039,0
381,9,36.00063,0
382,9,36.96967,0
383,9,37.62418,0
384,9,38.16608,0
385,9,40.28227,0
386,9,41.66274,0
387,9,42.84345,0
388,9,44.27806,0
389,9,45.66937,0
390,9,47.25502,0
391,9,48.56512,0
392,9,50.15672,0
393,9,51.60758,0
394,9,53.27552,0
395,9,54.80758,0
396,9,56.51287,0
397,9,58.10447,0
398,9,59.74426,0
399,9,61.43927,0
400,9,63.10071,0
401,9,64.62735,0
402,9,66.34943,0
403,9,67.98921,0
404,9,69.77571,0
405,9,71.3998,0
406,9,73.04555,0
407,9,74.66476,0
408,9,76.32133,0
409,9,77.82037,0
410,9,79.33131,0
411,9,80.73344,0
412,9,82.27578,0
413,9,83.69415,0
414,9,85.13472,0
415,9,86.49841,0
416,9,87.85181,0
417,9,89.1944,0
418,9,90.38052,0
419,9,91.51143,0
420,9,92.56222,0
421,9,93.61246,0
422,9,94.5593,0
423,9,95.28473,0
424,9,96.35176,0
425,9,97.09342,0.5693572
426,9,97.65644,0.4668313
427,9,98.24112,0.473597
428,9,98.85827,0.4902509
429,9,99.03096,0.4410697
430,9,99.52415,0.4725561
431,9,100,0.5199158
432,9,99.9031,0.4639689
433,9,99.75639,0.438988
434,9,99.74014,0.4793218
435,9,99.51277,0.4694335
436,9,99.28594,0.4863476
437,9,98.83607,0.4707346
438,9,98.48473,0.4361255
439,9,98.00833,0.4709948
440,9,97.47725,0.4746378
441,9,96.77943,0.4608463
442,9,96.15632,0.454601
443,9,95.41466,0.4775003
444,9,94.59774,0.4465343
445,9,93.70395,0.4871283
446,9,92.75169,0.4418503
447,9,91.70686,0.503522
448,9,90.65067,0.5545248
449,9,89.56848,0.5206964
450,9,88.39318,0.520176
451,9,87.24007,0.5646733
452,9,86.00577,0.5227782
453,9,84.81532,0.5724798
454,9,83.60266,0.5899144
455,9,81.99482,0.6380548
456,9,80.7172,0.7283505
457,9,79.29829,0.8662661
458,9,77.72346,0.8985332
459,9,76.08314,1.096299
460,9,74.62687,1.110611
461,9,73.04555,1.213137
462,9,71.30831,1.340904
463,9,69.61385,1.318525
464,9,67.85387,1.520194
465,9,66.15399,1.505882
466,9,64.22133,1.747365
467,9,62.39694,1.821527
468,9,60.57309,1.874351
469,9,58.86779,1.904797
470,9,56.91348,2.006542
471,9,55.08854,2.14732
472,9,53.28634,2.32583
473,9,51.3212,2.629504
474,9,49.39936,2.786416
475,9,47.40119,3.169457
476,9,45.5232,3.470529
477,9,43.61165,3.950631
478,9,41.74936,4.29464
479,9,39.87679,4.705004
480,9,38.05727,5.312613
481,9,36.20039,5.891338
482,9,34.45179,6.445863
483,9,32.64905,7.2783
484,9,30.95459,8.034234
485,9,29.24388,8.893735
486,9,27.58189,9.807361
487,9,26.0336,10.81466
488,9,24.45336,11.57346
489,9,22.89965,12.75641
490,9,21.50239,13.94275
491,9,20.09485,14.96723
492,9,18.81182,16.16215
493,9,17.36638,17.77446
494,9,16.23006,19.38443
495,9,14.98492,20.63634
496,9,13.95038,22.91038
497,9,12.78699,25.37777
498,9,12.02367,27.51885
499,9,10.96801,29.47204
500,9,10.21498,31.72787
501,9,9.343923,34.18017
502,9,8.748424,37.21275
503,9,7.941793,39.12328
504,9,7.448611,40.90525
505,9,6.685831,44.46972
506,9,6.1174,46.57384
507,9,5.559796,49.57597
508,9,5.180301,51.2333
509,9,4.617825,53.97704
510,9,4.385039,55.83344
511,9,3.979017,58.65785
512,9,3.648786,61.35891
513,9,3.383518,63.54396
514,9,3.183213,65.78262
515,9,2.744168,68.46833
516,9,2.631023,70.78219
517,9,2.408523,73.36278
518,9,2.240701,75.57983
519,9,2.018742,78.01105
520,9,1.905597,79.21404
521,9,1.948365,81.86774
522,9,1.613261,83.50113
523,9,1.510402,86.11346
524,9,1.401588,86.48245
